gene,f_score,p_value
1553923_at,1.1383850675501566,0.3415888284810907
237686_at,1.1381456746811387,0.3416990151089503
1560665_at,1.1381442293810646,0.3416996804340544
214325_at,1.1379973747400296,0.34176728863749084
231569_at,1.137960928245573,0.3417840694031912
228969_at,1.1376863425847628,0.3419105165445285
208188_at,1.1376851718520367,0.34191105575155384
1561217_at,1.137618455313705,0.3419417846990467
221128_at,1.1373659456831442,0.3420581086759334
1559601_at,1.137300043161755,0.3420884734625739
1554494_at,1.136977123329045,0.3422372919300551
1559459_at,1.1368974701568804,0.3422740085249528
1559722_at,1.136791875101261,0.34232268819598605
1569931_at,1.1366585218095797,0.34238417267306903
244639_at,1.1366546128037553,0.34238597511465846
1568830_at,1.1365771098606245,0.34242171331931076
214214_s_at,1.1364125805675813,0.34249759137543767
229223_at,1.1363694489899139,0.3425174852069579
1564164_at,1.1362494001660448,0.3425728610548178
209254_at,1.1361723502017158,0.3426084063800992
219356_s_at,1.1360280965755172,0.3426749628379298
222745_s_at,1.1359987229811113,0.3426885166810991
224146_s_at,1.1358329716332045,0.34276500753655165
216420_at,1.1358000404687263,0.3427802062728192
232298_at,1.1357278880134642,0.3428135087746223
1553181_at,1.1355987834431645,0.3428731046113035
